name,problem,method,k,d4_time_s,d4_status,d4_result,model_count,kissat_time_s,kissat_status,kissat_result,d4_timeout,kissat_timeout,model_count_plus1,d4_speedup_vs_method_k0,kissat_speedup_vs_method_k0,models_ratio_vs_method_k0,tool_time_s,tool_runs,amortized_tool_time_s,total_d4_time_s,total_kissat_time_s,tool_share_total_d4,tool_share_total_kissat,d4_net_speedup_vs_method_k0,kissat_net_speedup_vs_method_k0
golf_g4_p4_w6_nongen_k380,golf_g4_p4_w6,nongen,380,36001.7,n,,,610.27,s,unsat,True,False,,1.0001138835110566,58.99503498451506,,11.25997543334961,1,11.25997543334961,36012.95997543335,621.5299754333496,0.00031266453635110056,0.018116544460303485,0.9998016262956002,57.92627447462094
golf_g4_p4_w6_randtrans_k0,golf_g4_p4_w6,randtrans,0,36003.7,n,,,36004.1,n,,True,True,,1.0,1.0,,0.0,1,0.0,36003.7,36004.1,0.0,0.0,1.0,1.0
golf_g4_p4_w6_randtrans_k76,golf_g4_p4_w6,randtrans,76,36005.4,n,,,627.391,s,unsat,True,False,,0.9999527848600487,57.38702021546372,,0.7936387062072754,1,0.7936387062072754,36006.19363870621,628.1846387062072,2.2041727436418706e-05,0.0012633844530834646,0.9999307441733155,57.31451834631472
golf_g4_p4_w6_randtrans_k152,golf_g4_p4_w6,randtrans,152,2076.13,s,unsat,0.0,298.288,s,unsat,False,False,1.0,17.341736789122066,120.70247545995815,,2.705904722213745,1,2.705904722213745,2078.835904722214,300.99390472221376,0.0013016442115835612,0.008989898731374695,17.3191640178117,119.6173724289469
golf_g4_p4_w6_randtrans_k228,golf_g4_p4_w6,randtrans,228,1224.89,s,unsat,0.0,360.254,s,unsat,False,False,1.0,29.39341491889067,99.94087504927079,,4.881124496459961,1,4.881124496459961,1229.77112449646,365.13512449646,0.003969132466383594,0.013367994939383827,29.276748561438218,98.60486593737454
golf_g4_p4_w6_randtrans_k304,golf_g4_p4_w6,randtrans,304,2041.57,s,unsat,0.0,209.581,s,unsat,False,False,1.0,17.635300283605265,171.79085890419455,,11.578459024429321,1,11.578459024429321,2053.148459024429,221.1594590244293,0.00563936766166969,0.05235344251384863,17.53584834148207,162.79701604814912
golf_g4_p4_w6_randtrans_k380,golf_g4_p4_w6,randtrans,380,975.003,s,unsat,0.0,289.643,s,unsat,False,False,1.0,36.926758174077406,124.30509282116262,,11.191368579864502,1,11.191368579864502,986.1943685798645,300.8343685798645,0.011348035373574735,0.0372010971774771,36.507712016086536,119.68080698346724
golf_g4_p4_w6_satsuma_k0,golf_g4_p4_w6,satsuma,0,36000.2,n,,,36002.7,n,,True,True,,1.0,1.0,,0.0,1,0.0,36000.2,36002.7,0.0,0.0,1.0,1.0
golf_g4_p4_w6_satsuma_k76,golf_g4_p4_w6,satsuma,76,36001.4,n,,,36001.7,n,,True,True,,0.9999666679629124,1.0000277764661114,,0.01601719856262207,1,0.01601719856262207,36001.416017198564,36001.71601719856,4.449046824983314e-07,4.4490097513603e-07,0.9999662230730595,1.0000273315527783
golf_g4_p4_w6_satsuma_k152,golf_g4_p4_w6,satsuma,152,36000.3,n,,,25185.0,s,unsat,True,False,,0.99999722224537,1.429529481834425,,0.019278764724731445,1,0.019278764724731445,36000.31927876473,25185.019278764725,5.355164929357524e-07,7.654854066753381e-07,0.9999966867303646,1.4295283875504683
golf_g4_p4_w6_satsuma_k228,golf_g4_p4_w6,satsuma,228,36000.2,n,,,28273.1,s,unsat,True,False,,1.0,1.2733906080337847,,0.028473615646362305,1,0.028473615646362305,36000.22847361564,28273.128473615645,7.909287483336516e-07,1.0070910855490843e-06,0.9999992090712516,1.273389325613455
golf_g4_p4_w6_satsuma_k304,golf_g4_p4_w6,satsuma,304,36001.2,n,,,14961.4,s,unsat,True,False,,0.9999722231481173,2.4063723983049714,,0.06928229331970215,1,0.06928229331970215,36001.26928229332,14961.46928229332,1.9244402961586025e-06,4.630714538290483e-06,0.999970298761276,2.406361255081322
golf_g4_p4_w6_satsuma_k380,golf_g4_p4_w6,satsuma,380,36000.2,n,,,14448.5,s,unsat,True,False,,1.0,2.491794996020348,,0.10022139549255371,1,0.10022139549255371,36000.30022139549,14448.600221395493,2.7839044362466375e-06,6.936408645603318e-06,0.9999972160955638,2.4917777119119946
golf_g5_p3_w6_gen2_k0,golf_g5_p3_w6,gen2,0,36002.2,n,,,3.613,s,sat,True,False,,1.0,1.0,,0.01586127281188965,1,0.01586127281188965,36002.21586127281,3.6288612728118896,4.405637939900096e-07,0.0043708677790262425,1.0,1.0
golf_g5_p3_w6_gen2_k90,golf_g5_p3_w6,gen2,90,36004.1,n,,,2.292,s,sat,True,False,,0.9999472282323402,1.5763525305410124,,0.1398606300354004,1,0.1398606300354004,36004.239860630034,2.4318606300354,3.8845600011774e-06,0.05751177855671954,0.9999437844163616,1.4922159715867702
golf_g5_p3_w6_gen2_k180,golf_g5_p3_w6,gen2,180,36005.8,n,,,2.774,s,sat,True,False,,0.9999000161085156,1.302451333813987,,0.5075957775115967,1,0.5075957775115967,36006.307595777515,3.2815957775115967,1.409741268696829e-05,0.1546795559008495,0.9998863606190715,1.1058221422882317
golf_g5_p3_w6_gen2_k270,golf_g5_p3_w6,gen2,270,36002.8,n,,,2.674,s,sat,True,False,,0.9999833346295286,1.3511593118922962,,1.1143608093261719,1,1.1143608093261719,36003.91436080933,3.788360809326172,3.095110154298018e-05,0.29415382151109865,0.9999528245868075,0.9578974800600759
golf_g5_p3_w6_gen2_k360,golf_g5_p3_w6,gen2,360,36005.0,n,,,1.681,s,sat,True,False,,0.9999222330231912,2.1493158834027364,,1.7938358783721924,1,1.7938358783721924,36006.79383587837,3.4748358783721924,4.9819372603643325e-05,0.5162361450039262,0.9998728580326693,1.044325947996097
golf_g5_p3_w6_gen2_k450,golf_g5_p3_w6,gen2,450,36000.9,n,,,3.71,s,sat,True,False,,1.0000361102083557,0.9738544474393531,,2.807722806930542,1,2.807722806930542,36003.70772280693,6.517722806930542,7.798426841333234e-05,0.43078278872875414,0.9999585636694529,0.5567682732615115
golf_g5_p3_w6_neighbors_k0,golf_g5_p3_w6,neighbors,0,36001.2,n,,,3.743,s,sat,True,False,,1.0,1.0,,0.0,1,0.0,36001.2,3.743,0.0,0.0,1.0,1.0
golf_g5_p3_w6_neighbors_k90,golf_g5_p3_w6,neighbors,90,36006.2,n,,,2.761,s,sat,True,False,,0.9998611350267453,1.3556682361463237,,0.7448132038116455,1,0.7448132038116455,36006.94481320381,3.5058132038116456,2.068526523634744e-05,0.2124509095355845,0.9998404526339678,1.0676552863485358
