problem,metric,best_method,best_k,value,tool_time_s,d4_time_s,kissat_time_s,total_d4_time_s,total_kissat_time_s,model_count,d4_result,kissat_result,d4_timeout,kissat_timeout
latinsq_lsq9,d4_time_s,gen2,710,5172.25,5.822478532791138,5172.25,0.197,5178.072478532791,6.019478532791138,,,sat,True,False
latinsq_lsq9,kissat_time_s,gen2,0,0.006,0.031613826751708984,34465.6,0.006,34465.63161382675,0.03761382675170898,,,sat,True,False
latinsq_lsq9,d4_speedup_vs_method_k0,gen2,710,6.663560346077626,5.822478532791138,5172.25,0.197,5178.072478532791,6.019478532791138,,,sat,True,False
latinsq_lsq9,kissat_speedup_vs_method_k0,satsuma,142,1.2857142857142856,0.022925615310668945,36005.3,0.007,36005.32292561531,0.029925615310668945,,,sat,True,False
latinsq_lsq9,tool_time_s,neighbors,0,0.0,0.0,36005.7,0.008,36005.7,0.008,,,sat,True,False
latinsq_lsq9,total_d4_time_s,gen2,710,5178.072478532791,5.822478532791138,5172.25,0.197,5178.072478532791,6.019478532791138,,,sat,True,False
latinsq_lsq9,total_kissat_time_s,neighbors,0,0.008,0.0,36005.7,0.008,36005.7,0.008,,,sat,True,False
latinsq_lsq9,d4_net_speedup_vs_method_k0,gen2,710,6.656073617492623,5.822478532791138,5172.25,0.197,5178.072478532791,6.019478532791138,,,sat,True,False
latinsq_lsq9,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.031613826751708984,34465.6,0.006,34465.63161382675,0.03761382675170898,,,sat,True,False
php_pig21_hol20,d4_time_s,satsuma,420,0.031,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,kissat_time_s,satsuma,420,0.026,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,model_count,neighbors,168,0.0,0.2965872287750244,23455.4,678.882,23455.696587228776,679.178587228775,0.0,unsat,unsat,False,False
php_pig21_hol20,d4_speedup_vs_method_k0,satsuma,420,1161290.322580645,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,kissat_speedup_vs_method_k0,satsuma,420,1384753.8461538462,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,tool_time_s,neighbors,0,0.0,0.0,36000.1,36000.1,36000.1,36000.1,,,,True,True
php_pig21_hol20,total_d4_time_s,satsuma,420,0.04008827781677246,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,total_kissat_time_s,satsuma,420,0.035088277816772456,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,d4_net_speedup_vs_method_k0,satsuma,420,898018.123016949,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig21_hol20,kissat_net_speedup_vs_method_k0,satsuma,420,1026086.2669865778,0.009088277816772461,0.031,0.026,0.04008827781677246,0.035088277816772456,0.0,unsat,unsat,False,False
php_pig25_hol20,d4_time_s,satsuma,400,0.035,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,kissat_time_s,satsuma,400,0.028,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,model_count,neighbors,200,0.0,0.4154164791107178,207.184,1.823,207.59941647911072,2.2384164791107177,0.0,unsat,unsat,False,False
php_pig25_hol20,d4_speedup_vs_method_k0,satsuma,400,1028585.7142857142,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,kissat_speedup_vs_method_k0,satsuma,400,1285714.2857142857,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,tool_time_s,gen2,0,0.0,0.0,36002.5,36000.0,36002.5,36000.0,,,,True,True
php_pig25_hol20,total_d4_time_s,satsuma,400,0.06310263633728028,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,total_kissat_time_s,satsuma,500,0.05546682548522949,0.023466825485229492,0.04,0.032,0.0634668254852295,0.05546682548522949,0.0,unsat,unsat,False,False
php_pig25_hol20,d4_net_speedup_vs_method_k0,satsuma,400,570507.067368457,0.028102636337280273,0.035,0.028,0.06310263633728028,0.05610263633728027,0.0,unsat,unsat,False,False
php_pig25_hol20,kissat_net_speedup_vs_method_k0,satsuma,500,649036.6031419375,0.023466825485229492,0.04,0.032,0.0634668254852295,0.05546682548522949,0.0,unsat,unsat,False,False
php_pig31_hol30,d4_time_s,satsuma,930,0.045,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,kissat_time_s,satsuma,930,0.057,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,model_count,neighbors,558,0.0,2.9533607959747314,15807.1,4.463,15810.053360795975,7.4163607959747315,0.0,unsat,unsat,False,False
php_pig31_hol30,d4_speedup_vs_method_k0,satsuma,930,800017.7777777779,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,kissat_speedup_vs_method_k0,satsuma,930,631614.0350877193,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,tool_time_s,gen2,0,0.0,0.0,36000.5,36000.6,36000.5,36000.6,,,,True,True
php_pig31_hol30,total_d4_time_s,satsuma,930,0.10865013122558594,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,total_kissat_time_s,satsuma,930,0.12065013122558593,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,d4_net_speedup_vs_method_k0,satsuma,930,331346.1253466227,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig31_hol30,kissat_net_speedup_vs_method_k0,satsuma,930,298400.0069812204,0.06365013122558594,0.045,0.057,0.10865013122558594,0.12065013122558593,0.0,unsat,unsat,False,False
php_pig35_hol15,d4_time_s,satsuma,420,0.022,0.023751497268676758,0.022,0.017,0.04575149726867676,0.04075149726867676,0.0,unsat,unsat,False,False
php_pig35_hol15,kissat_time_s,satsuma,210,0.017,0.015911340713500977,0.03,0.017,0.045911340713500975,0.03291134071350098,0.0,unsat,unsat,False,False
php_pig35_hol15,model_count,neighbors,105,0.0,0.17960739135742188,3.046,0.089,3.2256073913574217,0.26860739135742184,0.0,unsat,unsat,False,False
php_pig35_hol15,d4_speedup_vs_method_k0,satsuma,420,1636481.8181818181,0.023751497268676758,0.022,0.017,0.04575149726867676,0.04075149726867676,0.0,unsat,unsat,False,False
php_pig35_hol15,kissat_speedup_vs_method_k0,satsuma,210,17048.11764705882,0.015911340713500977,0.03,0.017,0.045911340713500975,0.03291134071350098,0.0,unsat,unsat,False,False
php_pig35_hol15,tool_time_s,neighbors,0,0.0,0.0,36004.1,341.336,36004.1,341.336,,,unsat,True,False
php_pig35_hol15,total_d4_time_s,satsuma,420,0.04575149726867676,0.023751497268676758,0.022,0.017,0.04575149726867676,0.04075149726867676,0.0,unsat,unsat,False,False
php_pig35_hol15,total_kissat_time_s,satsuma,210,0.03291134071350098,0.015911340713500977,0.03,0.017,0.045911340713500975,0.03291134071350098,0.0,unsat,unsat,False,False
php_pig35_hol15,d4_net_speedup_vs_method_k0,satsuma,420,786916.3229472879,0.023751497268676758,0.022,0.017,0.04575149726867676,0.04075149726867676,0.0,unsat,unsat,False,False
php_pig35_hol15,kissat_net_speedup_vs_method_k0,satsuma,210,8806.022292525751,0.015911340713500977,0.03,0.017,0.045911340713500975,0.03291134071350098,0.0,unsat,unsat,False,False
php_pig40_hol10,d4_time_s,satsuma,160,0.03,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,kissat_time_s,satsuma,160,0.014,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,model_count,gen2,0,0.0,0.0,313.555,0.142,313.555,0.142,0.0,unsat,unsat,False,False
php_pig40_hol10,d4_speedup_vs_method_k0,satsuma,160,12046.833333333332,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,kissat_speedup_vs_method_k0,satsuma,160,13.928571428571429,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,tool_time_s,gen2,0,0.0,0.0,313.555,0.142,313.555,0.142,0.0,unsat,unsat,False,False
php_pig40_hol10,total_d4_time_s,satsuma,160,0.04616668701171875,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,total_kissat_time_s,satsuma,160,0.03016668701171875,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,d4_net_speedup_vs_method_k0,satsuma,160,7828.263698200014,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
php_pig40_hol10,kissat_net_speedup_vs_method_k0,satsuma,160,6.464084038272053,0.01616668701171875,0.03,0.014,0.04616668701171875,0.03016668701171875,0.0,unsat,unsat,False,False
queens_n10,d4_time_s,satsuma,60,0.263,0.0,0.263,0.045,0.263,0.045,150.0,sat,sat,False,False
queens_n10,kissat_time_s,satsuma,0,0.026,0.0,0.728,0.026,0.728,0.026,724.0,sat,sat,False,False
queens_n10,model_count,satsuma,80,124.0,0.0,0.263,0.031,0.263,0.031,124.0,sat,sat,False,False
queens_n10,d4_speedup_vs_method_k0,satsuma,60,2.768060836501901,0.0,0.263,0.045,0.263,0.045,150.0,sat,sat,False,False
queens_n10,kissat_speedup_vs_method_k0,dihedral_gen,0,1.0,0.0,0.758,0.029,0.758,0.029,724.0,sat,sat,False,False
queens_n10,models_ratio_vs_method_k0,satsuma,80,0.1712707182320442,0.0,0.263,0.031,0.263,0.031,124.0,sat,sat,False,False
queens_n10,tool_time_s,dihedral_gen,0,0.0,0.0,0.758,0.029,0.758,0.029,724.0,sat,sat,False,False
